
sigma      0.206157 0 0.6
y-itercept 25.4052 0 1590
slope      -4.25537 -31.8 0
q-Boundary -2.10094 -2.55 -1.55
========== 16 15 0.6 3
0 0 -4 6
amplitude  79.8587 0 100
mean       0.162042 -0.2 2
sigma      0.2286 0 0.6
y-itercept 25.6859 0 1000
slope      -5.59125 -20 0
q-Boundary -2.35 -2.85 -1.85
========== 16 16 0.6 3
0 0 -4 6
amplitude  26.4951 0 105
mean       0.186618 -0.2 2
sigma      0.17446 0 0.6
y-itercept 20.1614 0 1050
slope      -5.28797 -21 0
q-Boundary -2.49424 -3.05 -2.05

========== 17 0 0.6 3
0 0 -4 6
amplitude  1515.88 0 1596
mean       0.126767 -0.2 2
sigma      0.145961 0 0.6
y-itercept 38.3108 0 15960
slope      -4.42152 -319.2 0
q-Boundary -2.36358 -2.9125 -1.9125
========== 17 5 0.6 3
0 0 -4 6
amplitude  101.806 0 109
mean       0.177667 -0.2 2
sigma      0.0737356 0 0.6
y-itercept 4.09513 0 1090
slope      -0.700231 -21.8 0
q-Boundary 0.0988675 -0.4125 0.5875
========== 17 6 0.6 3
0 0 -4 6
amplitude  437.309 0 459
mean       0.108401 -0.2 2
sigma      0.103834 0 0.6
y-itercept 4.76764 0 4590
slope      -0.70683 -91.8 0
q-Boundary -0.132361 -0.6375 0.3625
========== 17 7 0.6 3
0 0 -4 6
amplitude  287.531 0 291
mean       0.121145 -0.2 2
sigma      0.142218 0 0.6
y-itercept 3.08205 0 2910
slope      -0.304915 -58.2 0
q-Boundary -0.387533 -0.8875 0.1125
========== 17 8 0.6 3
0 0 -4 6
amplitude  203.56 0 219
mean       0.143753 -0.2 2
sigma      0.152111 0 0.6
y-itercept 4.26993 0 2190
slope      -0.638576 -43.8 0
q-Boundary -0.640887 -1.1375 -0.1375
========== 17 9 0.6 3
0 0 -4 6
amplitude  164.958 0 174
mean       0.14076 -0.2 2
sigma      0.153843 0 0.6
y-itercept 3.49621 0 1740
slope      -0.4079 -34.8 0
q-Boundary -0.962556 -1.4625 -0.4625
========== 17 10 0.6 3
0 0 -4 6
amplitude  119.54 0 126
mean       0.128604 -0.2 2
sigma      0.167942 0 0.6
y-itercept 4.22518 0 1260
slope      -0.595923 -25.2 0
q-Boundary -1.13754 -1.6375 -0.6375
========== 17 11 0.6 3
0 0 -4 6
amplitude  89.3705 0 111
mean       0.111805 -0.2 2
sigma      0.172721 0 0.6
y-itercept 5.70072 0 1110
slope      -0.969528 -22.2 0
q-Boundary -1.34067 -1.9375 -0.9375
========== 17 12 0.6 3
0 0 -4 6
amplitude  61.6771 0 75
mean       0.10798 -0.2 2
sigma      0.191744 0 0.6
y-itercept 5.49294 0 750
slope      -0.979037 -15 0
q-Boundary -1.65014 -2.1625 -1.1625
========== 17 13 0.6 3
0 0 -4 6
amplitude  100.049 0 120
mean       0.118965 -0.2 2
sigma      0.192729 0 0.6
y-itercept 10.6104 0 1200
slope      -1.68062 -24 0
q-Boundary -1.85046 -2.375 -1.375
========== 17 14 0.6 3
0 0 -4 6
amplitude  132.078 0 162
mean       0.119674 -0.2 2
sigma      0.209905 0 0.6
y-itercept 25.1052 0 1620
slope      -4.2194 -32.4 0
q-Boundary -2.10712 -2.55 -1.55
========== 17 15 0.6 3
0 0 -4 6
amplitude  87.8996 0 111
mean       0.152581 -0.2 2
sigma      0.229233 0 0.6
y-itercept 22.634 0 1110
slope      -4.86289 -22.2 0
q-Boundary -2.31662 -2.85 -1.85
========== 17 16 0.6 3
0 0 -4 6
amplitude  55.048 0 162
mean       0.160568 -0.2 2
sigma      0.192994 0 0.6
y-itercept 36.2502 0 1620
slope      -9.50628 -32.4 0
q-Boundary -2.50008 -3 -2

========== 18 0 0.6 3
0 0 -4 6
amplitude  1492.13 0 1562
mean       0.12411 -0.2 2
sigma      0.148346 0 0.6
y-itercept 38.3126 0 15620
slope      -4.1628 -312.4 0
q-Boundary -2.37678 -2.8875 -1.8875
========== 18 5 0.6 3
0 0 -4 6
amplitude  86.692 0 100
mean       0.172008 -0.2 2
sigma      0.0702198 0 0.6
y-itercept 3.70594 0 1000
slope      -0.662165 -20 0
q-Boundary 0.0983648 -0.4125 0.5875
========== 18 6 0.6 3
0 0 -4 6
amplitude  442.174 0 460
