Angle [deg]1	CM	Angle [deg]2	Lab (0->) 40Ar	Angle [deg]3	Lab (0<-) 40Ar	Angle [deg]4	Lab (0->)  1H	Angle [deg]5	Lab (0<-)  1H	
12.279800	175241    	0.144829	5.43429e+09	0.144829	34622.9   	6.165988	94.1754   	6.165988	94.1754   	
12.459650	165377    	0.146223	5.22992e+09	0.146223	34629.8   	6.255929	94.2237   	6.255929	94.2237   	
12.639500	156199    	0.147618	5.03508e+09	0.147618	34636.6   	6.345870	94.2727   	6.345870	94.2727   	
12.819350	147650    	0.149012	4.84923e+09	0.149012	34643.5   	6.435811	94.3224   	6.435811	94.3224   	
12.999200	139680    	0.150407	4.67187e+09	0.150407	34650.6   	6.525752	94.3729   	6.525752	94.3729   	
13.179050	132242    	0.151801	4.50255e+09	0.151801	34657.6   	6.615693	94.4241   	6.615693	94.4241   	
13.358900	125293    	0.153196	4.34083e+09	0.153196	34664.7   	6.705634	94.476    	6.705634	94.476    	
13.538750	118796    	0.154591	4.1863e+09	0.154591	34672     	6.795575	94.5287   	6.795575	94.5287   	
13.718600	112716    	0.155985	4.0386e+09	0.155985	34679.2   	6.885516	94.5821   	6.885516	94.5821   	
13.898450	107021    	0.157380	3.89735e+09	0.157380	34686.6   	6.975457	94.6363   	6.975457	94.6363   	
14.078300	101682    	0.158774	3.76221e+09	0.158774	34694     	7.065398	94.6912   	7.065398	94.6912   	
14.258150	96673.1   	0.160169	3.63289e+09	0.160169	34701.5   	7.155339	94.7468   	7.155339	94.7468   	
14.438000	91969.6   	0.161563	3.50908e+09	0.161563	34709     	7.245280	94.8032   	7.245280	94.8032   	
14.617850	87549.5   	0.162958	3.39049e+09	0.162958	34716.6   	7.335221	94.8603   	7.335221	94.8603   	
14.797700	83392.6   	0.164352	3.27688e+09	0.164352	34724.3   	7.425162	94.9182   	7.425162	94.9182   	
14.977550	79480.3   	0.165747	3.16798e+09	0.165747	34732.1   	7.515103	94.9768   	7.515103	94.9768   	
15.157400	75795.5   	0.167141	3.06357e+09	0.167141	34739.8   	7.605044	95.0362   	7.605044	95.0362   	
15.337250	72322.5   	0.168536	2.96343e+09	0.168536	34747.8   	7.694985	95.0964   	7.694985	95.0964   	
15.517100	69046.8   	0.169930	2.86734e+09	0.169930	34755.7   	7.784926	95.1572   	7.784926	95.1572   	
15.696950	65955.2   	0.171325	2.77512e+09	0.171325	34763.7   	7.874867	95.2189   	7.874867	95.2189   	
15.876800	63035.2   	0.172720	2.68657e+09	0.172720	34771.8   	7.964808	95.2813   	7.964808	95.2813   	
